Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Lavinia, Foil to Conspiracy",CLU,Ravnica: Clue Edition,36,normal,rare,1,91221,d5435866-d48b-496a-ba07-438163b71ae8,1.5,false,false,near_mint,en,EUR
Ziatora's Envoy,SNC,Streets of New Capenna,340,normal,rare,1,68048,e21c4ac9-f256-47a9-9dec-a42df3695fcd,0.35,false,false,near_mint,en,EUR
Slitherwisp,IKO,Ikoria: Lair of Behemoths,208,normal,rare,1,49869,8067f195-8b6e-4329-a34e-43e52f67c571,0.28,false,false,near_mint,en,EUR
"Baba Lysaga, Night Witch",CLB,Commander Legends: Battle for Baldur's Gate,266,normal,rare,1,68940,2ef42c3f-f22e-4e99-adb0-9e8f8d442347,0.14,false,false,near_mint,en,EUR
Enigma Sphinx,C18,Commander 2018,178,normal,rare,1,665,40b62ed0-356c-4552-b76d-48ff54410e70,0.15,false,false,near_mint,en,EUR
Incandescent Aria,SNC,Streets of New Capenna,192,normal,rare,1,67837,77e2ed9e-ee1d-440a-94b4-d4b17d30b800,0.05,false,false,near_mint,en,EUR
"Orah, Skyclave Hierophant",ZNR,Zendikar Rising,233,normal,rare,1,54481,2336c8bf-fcad-41f9-9041-80b8aa3cd79a,0.1,false,false,near_mint,en,EUR
Elsha of the Infinite,2X2,Double Masters 2022,208,normal,rare,1,70469,c0728027-a1ec-4814-87c4-10c3baced0e0,0.17,false,false,near_mint,en,EUR
"Gimli, Mournful Avenger",LTR,The Lord of the Rings: Tales of Middle-earth,209,normal,rare,1,83579,df4be38c-3f93-4ff4-bff4-94753b96f2f3,0.16,false,false,near_mint,en,EUR
Ivorytusk Fortress,KTK,Khans of Tarkir,179,normal,rare,1,13219,75a8df73-0141-4c07-87d8-b1f34a4b374b,0.19,false,false,near_mint,en,EUR
The Bloodsky Massacre,KHM,Kaldheim,207,normal,rare,1,56910,669975ed-0501-4b48-988d-29c1215179a4,0.04,false,false,near_mint,en,EUR
"Umori, the Collector",IKO,Ikoria: Lair of Behemoths,231,normal,rare,1,49846,75ac31e0-ac70-4ee6-b2b1-cc445ffa1da9,0.25,false,false,near_mint,en,EUR
Labyrinth Raptor,IKO,Ikoria: Lair of Behemoths,193,normal,rare,1,49884,c608543d-cb60-44c3-a437-e4a18c311420,0.15,false,false,near_mint,en,EUR
Ratadrabik of Urborg,DMU,Dominaria United,213,normal,rare,1,71613,9315812d-03e8-4eb4-a693-e7adf281f7fb,0.46,false,false,near_mint,en,EUR
Relive the Past,MKM,Murders at Karlov Manor,226,normal,rare,1,90709,20948cd2-e40c-4648-832f-ab0f1cc21610,0.07,false,false,near_mint,en,EUR
"Gorion, Wise Mentor",CLB,Commander Legends: Battle for Baldur's Gate,276,normal,rare,1,68816,001c648a-db66-47f3-8fee-3658b9e76ac2,0.13,false,false,near_mint,en,EUR
"Raggadragga, Goreguts Boss",CLB,Commander Legends: Battle for Baldur's Gate,291,normal,rare,1,68859,1166ce2a-4e0b-4a57-929d-566f461a6282,0.32,false,false,near_mint,en,EUR
"Zevlor, Elturel Exile",CLB,Commander Legends: Battle for Baldur's Gate,296,normal,rare,1,69311,d1e51138-9745-465d-84dd-27605f8a2264,0.12,false,false,near_mint,en,EUR
"Genku, Future Shaper",MH3,Modern Horizons 3,186,normal,rare,1,94337,0cbcc962-65c4-496d-8034-75c8d204dba3,0.19,false,false,near_mint,en,EUR
Black Market Tycoon,SNC,Streets of New Capenna,167,normal,rare,1,67658,28d92b13-8b23-4c78-b690-c5d9ca835809,0.12,false,false,near_mint,en,EUR
Imskir Iron-Eater,MH3,Modern Horizons 3,189,normal,rare,1,94452,541209fa-38b6-4d61-a72d-26bfb6ad5ead,0.12,false,false,near_mint,en,EUR
"Astarion, the Decadent",CLB,Commander Legends: Battle for Baldur's Gate,265,normal,rare,1,69072,64d932b9-5682-4427-a871-7d452a488674,0.97,false,false,near_mint,en,EUR
"Kylox, Visionary Inventor",MKM,Murders at Karlov Manor,214,normal,rare,1,90611,00faa272-91ad-407b-9175-8fa1d02585b8,0.1,false,false,near_mint,en,EUR
Hidetsugu and Kairi,MOM,March of the Machine,228,normal,rare,1,81136,81039daf-0d54-4474-a833-fa287ec10cf9,0.24,false,false,near_mint,en,EUR
"Etrata, Deadly Fugitive",MKM,Murders at Karlov Manor,200,normal,mythic,1,90826,4410db5a-62af-43ac-979d-88a7c975f7bd,0.73,false,false,near_mint,en,EUR
"Tyvar, Jubilant Brawler",ONE,Phyrexia: All Will Be One,218,normal,rare,1,78596,66605fe1-9a20-4c95-b53e-1249cedb978b,1.74,false,false,near_mint,en,EUR
"Nemata, Primeval Warden",DMU,Dominaria United,209,normal,rare,1,71687,adcd556d-351f-4faf-9456-0e47def69a69,0.29,false,false,near_mint,en,EUR
"Astor, Bearer of Blades",DMU,Dominaria United,293,normal,rare,1,71590,87ab2cad-ac4c-4b04-8724-c824b45db4d0,0.26,false,false,near_mint,en,EUR
"Judith, Carnage Connoisseur",MKM,Murders at Karlov Manor,210,normal,rare,1,90814,3eaa19ce-cace-499e-8b23-ef9e56b23700,0.23,false,false,near_mint,en,EUR
"Voja, Jaws of the Conclave",MKM,Murders at Karlov Manor,432,foil,mythic,1,91172,bfa1bd2f-25bd-4fbd-877b-cef00ab7f92f,4.35,false,false,near_mint,en,EUR
